tailnumber,dates,aircraft,origin,destination,departure,arrival,duration,Tail_number,NAME
N888CP,01-Dec-2020,LJ31,"<span dir=""ltr"">Lubbock Smith Intl</span>","<span dir=""ltr"">Chicago Midway Intl</span>","<td>04:41PM <span class=""tz"">CST</span></td>","<td>06:40PM <span class=""tz"">CST</span></td>",1:59,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,01-Dec-2020,LJ31,"<span dir=""ltr"">Chicago Midway Intl</span>","<span dir=""ltr"">Lubbock Smith Intl</span>","<td>09:21AM <span class=""tz"">CST</span></td>","<td>11:35AM <span class=""tz"">CST</span></td>",2:13,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,01-Dec-2020,LJ31,"<span dir=""ltr"">Aurora Muni</span>","<span dir=""ltr"">Chicago Midway Intl</span>","<td>07:47AM <span class=""tz"">CST</span></td>","<td>08:00AM <span class=""tz"">CST</span></td>",0:13,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,30-Nov-2020,LJ31,"<span dir=""ltr"">Hooks Mem</span>","<span dir=""ltr"">Aurora Muni</span>","<td>03:01PM <span class=""tz"">CST</span></td>","<td>05:14PM <span class=""tz"">CST</span></td>",2:13,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,30-Nov-2020,LJ31,"<span dir=""ltr"">Milwaukee Mitchell Intl Airport</span>","<span dir=""ltr"">Hooks Mem</span>","<td>11:34AM <span class=""tz"">CST</span></td>","<td>01:58PM <span class=""tz"">CST</span></td>",2:23,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,30-Nov-2020,LJ31,"<span dir=""ltr"">Aurora Muni</span>","<span dir=""ltr"">Milwaukee Mitchell Intl Airport</span>","<td>09:30AM <span class=""tz"">CST</span></td>","<td>09:53AM <span class=""tz"">CST</span></td>",0:22,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,27-Nov-2020,LJ31,"<span dir=""ltr"">Chicago Midway Intl</span>","<span dir=""ltr"">Aurora Muni</span>","<td>03:02PM <span class=""tz"">CST</span></td>","<td>03:16PM <span class=""tz"">CST</span></td>",0:14,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,27-Nov-2020,LJ31,"<span dir=""ltr"">Gerald R Ford Intl</span>","<span dir=""ltr"">Chicago Midway Intl</span>","<td>02:57PM <span class=""tz"">EST</span></td>","<td>02:29PM <span class=""tz"">CST</span></td>",0:31,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,27-Nov-2020,LJ31,"<span dir=""ltr"">Chicago Midway Intl</span>","<span dir=""ltr"">Gerald R Ford Intl</span>","<td>08:01AM <span class=""tz"">CST</span></td>","<td>09:32AM <span class=""tz"">EST</span></td>",0:30,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,27-Nov-2020,LJ31,"<span dir=""ltr"">Aurora Muni</span>","<span dir=""ltr"">Chicago Midway Intl</span>","<td>06:58AM <span class=""tz"">CST</span></td>","<td>07:14AM <span class=""tz"">CST</span></td>",0:15,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,25-Nov-2020,LJ31,"<span dir=""ltr"">Rochester Intl</span>","<span dir=""ltr"">Aurora Muni</span>","<td>12:56PM <span class=""tz"">CST</span></td>","<td>01:40PM <span class=""tz"">CST</span></td>",0:44,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,25-Nov-2020,LJ31,"<span dir=""ltr"">General Downing - Peoria Intl</span>","<span dir=""ltr"">Rochester Intl</span>","<td>11:10AM <span class=""tz"">CST</span></td>","<td>11:55AM <span class=""tz"">CST</span></td>",0:44,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,25-Nov-2020,LJ31,"<span dir=""ltr"">Aurora Muni</span>","<span dir=""ltr"">General Downing - Peoria Intl</span>","<td>10:12AM <span class=""tz"">CST</span></td>","<td>10:40AM <span class=""tz"">CST</span></td>",0:27,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,13-Nov-2020,LJ31,"<span dir=""ltr"">San Jose Int'l</span>","<span dir=""ltr"">Aurora Muni</span>","<td>05:56PM <span class=""tz"">PST</span></td>","<td>11:29PM <span class=""tz"">CST</span></td>",3:32,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,13-Nov-2020,LJ31,"<span dir=""ltr"">Centennial</span>","<span dir=""ltr"">San Jose Int'l</span>","<td>01:43PM <span class=""tz"">MST</span></td>","<td>03:25PM <span class=""tz"">PST</span></td>",2:41,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,13-Nov-2020,LJ31,"<span dir=""ltr"">Aurora Muni</span>","<span dir=""ltr"">Centennial</span>","<td>11:27AM <span class=""tz"">CST</span></td>","<td>12:59PM <span class=""tz"">MST</span></td>",2:31,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,12-Nov-2020,LJ31,"<span dir=""ltr"">Chicago Midway Intl</span>","<span dir=""ltr"">Aurora Muni</span>","<td>10:30PM <span class=""tz"">CST</span></td>","<td>10:41PM <span class=""tz"">CST</span></td>",0:10,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,12-Nov-2020,LJ31,"<span dir=""ltr"">Indianapolis Intl</span>","<span dir=""ltr"">Chicago Midway Intl</span>","<td>10:34PM <span class=""tz"">EST</span></td>","<td>10:08PM <span class=""tz"">CST</span></td>",0:33,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,12-Nov-2020,LJ31,"<span dir=""ltr"">Chicago Midway Intl</span>","<span dir=""ltr"">Indianapolis Intl</span>","<td>03:23PM <span class=""tz"">CST</span></td>","<td>04:54PM <span class=""tz"">EST</span></td>",0:30,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,12-Nov-2020,LJ31,"<span dir=""ltr"">Aurora Muni</span>","<span dir=""ltr"">Chicago Midway Intl</span>","<td>01:40PM <span class=""tz"">CST</span></td>","<td>01:55PM <span class=""tz"">CST</span></td>",0:15,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,12-Nov-2020,LJ31,"<span dir=""ltr"">Chicago Midway Intl</span>","<span dir=""ltr"">Aurora Muni</span>","<td>03:40AM <span class=""tz"">CST</span></td>","<td>03:50AM <span class=""tz"">CST</span></td>",0:10,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
N888CP,12-Nov-2020,LJ31,"<span dir=""ltr"">Indianapolis Intl</span>","<span dir=""ltr"">Chicago Midway Intl</span>","<td>03:49AM <span class=""tz"">EST</span></td>","<td>03:21AM <span class=""tz"">CST</span></td>",0:31,N888CP,AEROCARE MEDICAL TRANSPORT SYSTEMS INC            
